ItYOdWRo0JY,17.15.11,"Selling My iPhone X To a Machine at Walmart","TechSmartt",28,"2017-11-14 00:45:15","iphone x|'iphone 10'|'iphone'|'walmart'|'techsmartt'|'keaton keller'",1836419,28647,17815,7860,"https://i.ytimg.com/vi/ItYOdWRo0JY/default.jpg",False,False,False
dUMH6DVYskc,17.15.11,"Ten-Year-Old's Face Unlocks Face ID on His Mom's iPhone X","Attaullah Malik",28,"2017-11-14 12:02:49","iPhone X|'Face ID'|'Face ID Fooled'|'Face ID Fail'|'Face ID Test'|'Face ID Review'|'iPhone X Review'|'Facial Recognition'|'Son unlocks mom's iphone x'|'Ten-Year-Old's Face Unlocks Face ID'",390964,3687,1273,1224,"https://i.ytimg.com/vi/dUMH6DVYskc/default.jpg",False,False,False
kgaO45SyaO4,17.15.11,"The New SpotMini","BostonDynamics",28,"2017-11-13 20:09:58","Robots|'Boston Dynamics'|'SpotMini'|'Legged Locomotion'|'Dynamic robot'",3701763,56561,2495,11608,"https://i.ytimg.com/vi/kgaO45SyaO4/default.jpg",False,False,False
gHZ1Qz0KiKM,17.15.11,"2 Weeks with iPhone X","iJustine",28,"2017-11-13 19:07:23","ijustine|'week with iPhone X'|'iphone x'|'apple'|'iphone'|'iphone x review'|'iphone x unboxing'",758998,19138,2272,2873,"https://i.ytimg.com/vi/gHZ1Qz0KiKM/default.jpg",False,False,False
Cr9oGxr0Qa0,17.15.11,"Making Sandals with Zip-Ties and a Laser","William Osman",28,"2017-11-14 14:00:02","laser cutter|'william osman'|'crappy science'|'sandals'|'flip flops'|'laser sandals'|'zip ties'|'diy'|'how to'|'make sandals'|'tap dancing'|'zip tie'|'laser'",121681,6095,61,731,"https://i.ytimg.com/vi/Cr9oGxr0Qa0/default.jpg",False,False,False
nc99ccSXST0,17.15.11,"5 Ice Cream Gadgets put to the Test","CrazyRussianHacker",28,"2017-11-12 21:50:37","5 Ice Cream Gadgets|'Ice Cream'|'Cream Sandwich Maker'|'gadgets'|'gadget review'|'review'|'unboxing'|'kitchen gadgets'|'Gadgets put to the Test'|'testing'|'10 Kitchen Gadgets'|'7 Camping Coffee Gadgets'|'10 Kitchen Gadgets put to the Test'",1099318,26813,1047,3827,"https://i.ytimg.com/vi/nc99ccSXST0/default.jpg",False,False,False
eNSN6qet1kE,17.15.11,"HomeMade Electric Airplane","PeterSripol",28,"2017-11-13 15:30:17","ultralight|'airplane'|'homemade'|'DIY'|'hoverbike'|'part 103'|'ultra light'|'aircraft'|'aviation'|'do it yourself'|'basement'|'petersripol'|'peter sripol'|'biplane'|'flitetest'|'flite test'|'electric vehicle'|'electric'",328325,19970,104,3336,"https://i.ytimg.com/vi/eNSN6qet1kE/default.jpg",False,False,False
fcVjitaM3LY,17.15.11,"78557 and Proth Primes - Numberphile","Numberphile",28,"2017-11-13 12:13:36","numberphile|'prime numbers'|'proth prime'",158173,6587,68,611,"https://i.ytimg.com/vi/fcVjitaM3LY/default.jpg",False,False,False
B5HORANmzHw,17.15.11,"Founding An Inbreeding-Free Space Colony","SciShow",27,"2017-11-12 22:00:01","SciShow|'science'|'Hank'|'Green'|'education'|'learn'|'stefan chin'|'mars'|'colony'|'genetic diversity'|'founder effect'|'alleles'|'effective population size'|'mutations'|'interstellar mission'|'acta astronautica'|'Founding An Inbreeding-Free Space Colony'",286577,9606,248,1196,"https://i.ytimg.com/vi/B5HORANmzHw/default.jpg",False,False,False
6VhU_T463sU,17.15.11,"The Making of Hela's Headdress from Thor: Ragnarok","Tested",28,"2017-11-12 15:00:01","tested|'testedcom'|'designercon 2017'|'preview'|'toys'|'props'|'costumes'|'ironhead studio'|'marvel'|'thor'|'thor 3'|'thor ragnorok'|'thor ragnarok'|'hela'|'helmet'|'cosplay'|'headdress'|'costume'",315177,4212,171,259,"https://i.ytimg.com/vi/6VhU_T463sU/default.jpg",False,False,False
